id,display_name,alt_names,street,postnummer,ort,kommun,lan,lat,lon,svardighet
325,Krukmakareberget Brf,,Krukmakargatan 50,11726,Stockholm,Stockholms kommun,Stockholms län,59.3164669,18.0486560,2
326,Krukis 27 Brf,,Krukmakargatan 27,11821,Stockholm,Stockholms kommun,Stockholms län,59.3170876,18.0548845,2
327,Nora Brf Kungsholmen,,Kronobergsgatan 16,11233,Stockholm,Stockholms kommun,Stockholms län,59.3351171,18.0350865,2
328,Kalkonen i Stockholm HSB Brf,,Kristinebergsvägen 1,11218,Stockholm,Stockholms kommun,Stockholms län,59.3334745,18.0156295,2
329,Mälarstrand 1 Brf,,Kristinebergs Strand 31,11213,Stockholm,Stockholms kommun,Stockholms län,59.3371036,17.9985399,2
330,Kristallen 9 Brf,,Kristallvägen,12678,Stockholm,Stockholms kommun,Stockholms län,59.2901597,17.9979008,2
331,Akvamarinen 1 Brf (6702),,Kristallvägen 2,12678,Stockholm,Stockholms kommun,Stockholms län,59.2907622,17.9990852,2
332,Kostern Brf,,Kostervägen,18135,Lidingö,Lidingö kommun,Stockholms län,59.3563878,18.1317492,2
333,Komedianten 6 Brf,,Kommendörsgatan 4,11436,Stockholm,Stockholms kommun,Stockholms län,59.3392622,18.0763528,2
334,Kocksgatan 42 Brf,,Kocksgatan 42,11631,Stockholm,Stockholms kommun,Stockholms län,59.3143948,18.0813570,2
335,Båtsmannen 25 Brf,,Kocksgatan 23,11624,Stockholm,Stockholms kommun,Stockholms län,59.3141496,18.0782909,2
336,Bordduken 6,,Klädesvägen 16,16876,Stockholm,Stockholms kommun,Stockholms län,59.3386680,17.9408355,2
337,Fabriken 4 Brf,,Klostervägen,18276,Danderyds kommun,Danderyds kommun,Stockholms län,59.3863113,18.0416769,2
338,Minnet nr 13 Brf,,Klintbacken,16866,Stockholm,Stockholms kommun,Stockholms län,59.3600306,17.9548197,2
341,Brf Huddingeugnen,,Kavlevägen,14159,Huddinge,Huddinge kommun,Stockholms län,59.2288891,17.9356457,2
342,GA - Stadshuslunden och EM,,Kavallerivägen 4G,17458,Sundbybergs kommun,Sundbybergs kommun,Stockholms län,59.3734041,17.9389086,2
343,Stadshuslunden Brf,,Kavallerivägen,17458,Sundbybergs kommun,Sundbybergs kommun,Stockholms län,59.3737835,17.9388941,2
